query,reference_label,reference_intent,actual_route,actual_output,is_deterministic_correct,is_llm_correct,final_success
"Is it possible to find the orbital data for 56884 on January 31, 2026.",sufficient,orbital_data_retrieval,sufficient,"The Two-Line Element set (TLE) for satellite ID 56884 on January 31, 2026, is as follows:

```
1 56884U 23083J   26030.75624794 -.00001154  00000-0 -70354-4 0  9998
2 56884  43.0056 287.9468 0001378 259.9139 100.1548 15.02530560145963
```

This TLE data provides the satellite's orbital parameters at the specified epoch.",True,True,True
"Can you please regain the orbital data for 53737 on February 14, 2026.",sufficient,orbital_data_retrieval,sufficient,"I cannot provide the Two-Line Element set (TLE) for satellite ID 53737 on February 14, 2026, because there is no available TLE data for that date.",True,False,False
I'm trying to fetch the TLE for 16578.,insufficient,missing_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to add a specific date or epoch for when you want to fetch the TLE.",True,True,True
"Give me the Two-Line Element set for 31519 for February 25, 2026.",sufficient,tle_extraction,sufficient,"The Two-Line Element set (TLE) for satellite ID 31519 on February 25, 2026, is as follows:

```
1 31519U 99025BXJ 26055.21880768  .00001014  00000-0  45746-3 0  9997
2 31519  98.5786  54.9090 0053319  30.4095 330.0158 14.23572184658100
```

This TLE data indicates the satellite's orbital parameters at the specified epoch.",True,True,True
"Give me the Two-Line Element set for 24243 for February 01, 2026.",sufficient,tle_extraction,sufficient,"I cannot provide the Two-Line Element set (TLE) for satellite ID 24243 on February 01, 2026, because there is no available TLE data for that date.",True,False,False
"I'm looking for help with find the orbital data for 16160 on February 20, 2026.",sufficient,orbital_data_retrieval,unknown,,False,False,False
"I need to recollect the orbital data for SICRAL 1B on February 24, 2026.",sufficient,orbital_data_retrieval,sufficient,"I encountered an issue while trying to retrieve the orbital data for SICRAL 1B on February 24, 2026. Unfortunately, no TLE data was found for that date. Please check for other dates or try again later.",True,False,False
"Would you mind helping me regain the orbital data for STARLINK-5055 on February 02, 2026.",sufficient,orbital_data_retrieval,sufficient,"I encountered an issue while trying to retrieve the orbital data for STARLINK-5055 on February 02, 2026. Unfortunately, no TLE data was found for that date. Please check for other dates or try again later.",True,False,False
"What satellites or debris were close to 18204 on March 01, 2026?",sufficient,proximity_search,sufficient,"I encountered an issue while trying to retrieve information about satellites or debris close to entity 18204 on March 01, 2026. Unfortunately, the necessary data is not available at this time. Please try again later or check for updates.",True,True,True
"Are there any recorded close approaches for 28832 on February 27, 2026?",sufficient,proximity_search,sufficient,"I encountered a backend error while trying to retrieve recorded close approaches for entity 28832 on February 27, 2026. Unfortunately, I cannot provide the requested data due to this issue. Please try again later or check for updates.",True,True,True
"Is it possible to regain the orbital data for 64651 on February 02, 2026.",sufficient,orbital_data_retrieval,sufficient,"The TLE parameters for entity 64651 on February 02, 2026, are as follows:

**Full TLE:**
```
1 64651U 24140AER 26031.57431255  .00001968  00000-0  99140-3 0  9997
2 64651  88.3370 249.3889 0078938 282.1015  77.1336 14.14384472 67716
```

**Key Parameters:**
- **NORAD ID:** 64651
- **Epoch:** 26031.57431255
- **Inclination:** 88.3370 degrees
- **Right Ascension of Ascending Node:** 249.3889 degrees
- **Eccentricity:** 0.0078938
- **Argument of Perigee:** 282.1015 degrees
- **Mean Anomaly:** 77.1336 degrees
- **Mean Motion:** 14.14384472 revolutions per day

If you need further analysis or information, feel free to ask!",True,True,True
"Is it possible to think the orbital data for MARSCOM on February 13, 2026.",sufficient,orbital_data_retrieval,sufficient,"I encountered an issue while trying to retrieve the orbital data for MARSCOM on February 13, 2026. Unfortunately, no TLE data was found for that date. Please check for other dates or try again later.",True,False,False
"Can you please distil the TLE parameters for 33578 from February 16, 2026.",sufficient,tle_extraction,sufficient,"I encountered an issue while trying to retrieve the TLE parameters for entity 33578 on February 16, 2026. Unfortunately, no TLE data was found for that date. Please check for other dates or try again later.",True,False,False
"Assess the conjunction event for FLOCK 2K 11 that happened on February 26, 2026.",sufficient,conjunction_assessment,sufficient,"I encountered a backend error while trying to assess the conjunction event for FLOCK 2K 11 on February 26, 2026. Unfortunately, I cannot provide the requested data due to this issue. Please try again later or check for updates.",True,True,True
"For 7078, look the collision probability recorded on February 21, 2026.",sufficient,conjunction_assessment,sufficient,"I encountered a backend error while trying to retrieve the collision probability for the entity identified as 7078 on February 21, 2026. Unfortunately, I cannot provide the requested data due to this issue. Please try again later or check for updates.",True,True,True
