query,reference_label,reference_intent,actual_route,actual_output,run_id,project_name,is_deterministic_correct,is_llm_correct,final_score
"Find objects that were near the satellite on February 07, 2026.",insufficient,missing_entity_id,insufficient,"🔍 **Missing Information Identified**

You need to provide the Satellite Identity (Name or NORAD ID) and specify the Specific Action (e.g., TLE fetch, Collision Risk).",019ca1fe-92d9-79d0-8eab-3249832093f9,OrCO-GPT-Cloud-Eval-b76b32b1,True,True,True
Is 54348 still in service?,out_of_scope,entity_information_request,out_of_scope,"Satellite 54348 is known as ""Starlink 1437,"" part of SpaceX's Starlink satellite constellation. As of my last update, Starlink satellites are generally designed for operational service for several years, but specific operational status can change frequently due to various factors such as deorbiting, malfunction, or upgrades.

To confirm if Starlink 1437 (NORAD ID 54348) is still in service, I recommend checking the latest updates from SpaceX or satellite tracking resources that provide real-time status information for satellites. If you have access to a satellite tracking tool, you can also verify its current status there.

If you need help with a specific tool or resource, let me know!

---
💡 *Note: This response was generated entirely by the LLM. No OrCo-GPT specialized SSA tools were used for this query.*",019ca1fe-7683-7b42-a5b8-f31da25ed72f,OrCO-GPT-Cloud-Eval-b76b32b1,True,True,True
"Assess the conjunction event for 60134 that happened on February 03, 2026.",sufficient,conjunction_assessment,unknown,,019ca1f1-9d14-7983-a79a-0b4fe0192ff1,OrCO-GPT-Cloud-Eval-374bc8d4,False,False,False
I'm trying to fetch the TLE for 60098.,insufficient,missing_temporal_constraint,unknown,,019ca1f1-953a-7b00-8293-8c563619745d,OrCO-GPT-Cloud-Eval-374bc8d4,False,False,False
"Is it possible to pull up the TLE parameters for 16969 from February 12, 2026.",sufficient,tle_extraction,sufficient,"The historical TLE data for satellite ID 16969 on February 12, 2026, is as follows:

**TLE Data:**
```
1 16969U 86073A   26042.99015778  .00000193  00000-0  93477-4 0  9992
2 16969  98.6970  36.4398 0012246   7.7619  57.7379 14.29132651 51536
```

**Epoch:** February 12, 2026 (in Julian date: 26042.99015778)

If you need further analysis or information regarding this satellite, feel free to ask!",019ca1f1-4500-7901-916d-8a5601100430,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
I'm looking for help with calculate a collision risk for 5745 next week.,insufficient,invalid_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to specify the exact date for ""next week"" to provide a temporal constraint.",019ca1f1-39fd-7690-a130-8216b840d120,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
Is it possible to calculate a collision risk for 4401 2028.,insufficient,invalid_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to provide a specific date or epoch for the collision risk calculation. Please add that information.",019ca1f1-360f-77a0-8919-b2b6fcb75b10,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
"Fetch the historical TLE for 18946 on February 21, 2026.",sufficient,tle_extraction,sufficient,"The historical TLE data for satellite ID 18946 on February 21, 2026, is as follows:

**TLE Data:**
```
1 18946U 88017A   26051.79067798  .00001633  00000-0 -50742-3 0  9994
2 18946  62.0606 274.4441 7367910 266.4725  15.1437  2.00648596278021
```

**Epoch:** February 21, 2026 (in Julian date: 26051.79067798)

If you need further analysis or information regarding this satellite, feel free to ask!",019ca1f1-19d5-74b2-a1be-9772c11ac500,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
Can you verify if there is any risk for the satellite?,insufficient,missing_all_metadata,insufficient,"🔍 **Missing Information Identified**

You need to provide the satellite's identity (name or NORAD ID) and specify a date or time frame for the risk assessment.",019ca1f1-1572-7870-9ade-6ccb057375f4,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
What is the country of origin for 8064?,out_of_scope,entity_information_request,out_of_scope,"Satellite ID 8064 corresponds to the ""KITSAT-1"" satellite, which was developed by South Korea. It was launched on August 10, 1992, as part of South Korea's efforts to develop its own satellite technology. If you need more specific details or further information about this satellite, feel free to ask!

---
💡 *Note: This response was generated entirely by the LLM. No OrCo-GPT specialized SSA tools were used for this query.*",019ca1f1-0bfd-7e83-b63d-e82f83aecec3,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
"I'm looking for help with excerption the TLE parameters for 59347 from February 20, 2026.",sufficient,tle_extraction,sufficient,"I was unable to retrieve the Two-Line Element (TLE) data for satellite ID 59347 on February 20, 2026, as there is no available TLE data for that date. This could be due to the satellite not being active or tracked during that time.

If you have any other questions or need information on a different satellite or date, feel free to ask!",019ca1f0-f476-7c23-bf56-6e9987d3de8d,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
I'm looking for help with calculate a collision risk for STARLINK-1086 next week.,insufficient,invalid_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to specify the exact date for ""next week"" to provide a temporal constraint.",019ca1f0-ef94-7fa2-9de6-2923e73961ab,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
"For ORBCOMM OG2, direct the collision probability recorded on February 14, 2026.",sufficient,conjunction_assessment,sufficient,"I encountered a timeout error while trying to calculate the collision probability for ORBCOMM OG2 on February 14, 2026. This means I was unable to retrieve the data at this time.

If you would like, I can attempt the calculation again or assist you with any other inquiries!",019ca1f0-c977-79d3-be22-149188298360,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
"Can you halt the conjunction assessment for STARLINK-2469 during February 19, 2026?",sufficient,conjunction_assessment,sufficient,"It seems that you are requesting to halt a conjunction assessment, but I do not have the capability to perform actions such as halting assessments. My role is to provide information and analysis based on available data.

If you need information about the conjunction assessment for STARLINK-2469 on February 19, 2026, please let me know!",019ca1f0-c1e5-7c90-8135-b3d331673785,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
"Is it possible to analyze the orbital apogee for February 03, 2026.",insufficient,missing_entity_id,insufficient,"🔍 **Missing Information Identified**

You need to provide the Satellite Identity (Name or NORAD ID) to complete your query.",019ca1f0-be2d-7e43-bbe8-3a68c7136290,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
Can you please calculate a collision risk for 57033 next week.,insufficient,invalid_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to specify the exact date for ""next week"" and confirm if you want the collision risk calculated for a specific satellite or object.",019ca1f0-b946-7050-b55a-616440e3cee4,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
Is it possible to calculate a collision risk for 53158 in 2027.,insufficient,invalid_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to specify a specific date in 2027 for the collision risk calculation.",019ca1f0-b537-7dc2-a691-197778d58724,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
"Fetch the historical TLE for 25771 on January 30, 2026.",sufficient,tle_extraction,sufficient,"The historical TLE data for satellite ID 25771 on January 30, 2026, is as follows:

**TLE Data:**
```
1 25771U 99031B   26029.31069050 -.00000103  00000-0 -13101-2 0  9991
2 25771  51.9894  41.5626 0002791  45.5246 314.5778 11.12121596142583
```

**Epoch:** January 30, 2026 (in Julian date: 26029.31069050)

If you need further analysis or information regarding this satellite, feel free to ask!",019ca1f0-99e4-7640-8b9f-c74b3f954a49,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
"I need to find the orbital data for 42127 on February 24, 2026.",sufficient,orbital_data_retrieval,sufficient,"I was unable to retrieve the Two-Line Element (TLE) data for satellite ID 42127 on February 24, 2026, as there is no available TLE data for that date. This could be due to the satellite not being active or tracked during that time. If you have any other questions or need information on a different satellite or date, feel free to ask!",019ca1f0-83f1-7361-8fc5-915cb97df9e7,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
Which launch site was used for 37531?,out_of_scope,entity_information_request,out_of_scope,"It appears that the number ""37531"" does not correspond to a widely recognized launch or mission identifier. If you could provide more context or clarify what you mean by ""37531,"" I would be happy to help you find the information you are looking for!

---
💡 *Note: This response was generated entirely by the LLM. No OrCo-GPT specialized SSA tools were used for this query.*",019ca1f0-7bbc-7f80-bb17-a221daeba7cf,OrCO-GPT-Cloud-Eval-374bc8d4,True,True,True
I'm looking for help with calculate a collision risk for 65300 in 2027.,insufficient,invalid_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

Your query is missing a specific date or epoch in 2027 for the collision risk calculation. Please provide that detail.",019ca1e3-f00f-7442-a5e4-5e2de77e6468,OrCO-GPT-Cloud-Eval-47b59a8e,True,True,True
I'm trying to fetch the TLE for COSMOS 1854.,insufficient,missing_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to add a specific date or epoch for when you want to fetch the TLE for COSMOS 1854.",019ca1e3-ecc5-7da1-9bf0-3c9c4e6e7e4d,OrCO-GPT-Cloud-Eval-47b59a8e,True,True,True
Can you please calculate a collision risk for HAWKSAT 1 in 2027.,insufficient,invalid_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to specify the exact date in 2027 for the collision risk calculation.",019ca1e3-e8e3-7e80-8a0e-1bd68511d2c5,OrCO-GPT-Cloud-Eval-47b59a8e,True,True,True
"I need to call back the orbital data for 15715 on February 11, 2026.",sufficient,orbital_data_retrieval,sufficient,"The Two-Line Element set (TLE) for satellite ID 15715 on February 11, 2026, is as follows:

```
1 15715U 85037H   26041.89020428  .00010133  00000-0  20029-2 0  9991
2 15715  51.9788 213.7007 5010876 211.7297 104.8614  5.58660024615131
```

This TLE data provides the satellite's orbital parameters at the specified epoch.",019ca1e3-d19b-71c3-9f06-13a93b16ec5c,OrCO-GPT-Cloud-Eval-47b59a8e,True,True,True
"Can you please analyze the orbital apogee for March 01, 2026.",insufficient,missing_entity_id,insufficient,"🔍 **Missing Information Identified**

You need to add the satellite identity (name or NORAD ID) to your query.",019ca1e3-cbc5-7560-bf94-6a6fa052546c,OrCO-GPT-Cloud-Eval-47b59a8e,True,True,True
"Is it possible to find the orbital data for 56884 on January 31, 2026.",sufficient,orbital_data_retrieval,sufficient,"The Two-Line Element set (TLE) for satellite ID 56884 on January 31, 2026, is as follows:

```
1 56884U 23083J   26030.75624794 -.00001154  00000-0 -70354-4 0  9998
2 56884  43.0056 287.9468 0001378 259.9139 100.1548 15.02530560145963
```

This TLE data provides the satellite's orbital parameters at the specified epoch.",019ca1e3-b1ce-7da1-aefa-fcbaf9200887,OrCO-GPT-Cloud-Eval-47b59a8e,True,True,True
"Can you please regain the orbital data for 53737 on February 14, 2026.",sufficient,orbital_data_retrieval,sufficient,"I cannot provide the Two-Line Element set (TLE) for satellite ID 53737 on February 14, 2026, because there is no available TLE data for that date.",019ca1e3-9756-7d23-9ff8-02f1cefb4f57,OrCO-GPT-Cloud-Eval-47b59a8e,True,True,True
I'm trying to fetch the TLE for 16578.,insufficient,missing_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to add a specific date or epoch for when you want to fetch the TLE.",019ca1e3-923a-7301-bd93-f566bdad4467,OrCO-GPT-Cloud-Eval-47b59a8e,True,True,True
"Give me the Two-Line Element set for 31519 for February 25, 2026.",sufficient,tle_extraction,sufficient,"The Two-Line Element set (TLE) for satellite ID 31519 on February 25, 2026, is as follows:

```
1 31519U 99025BXJ 26055.21880768  .00001014  00000-0  45746-3 0  9997
2 31519  98.5786  54.9090 0053319  30.4095 330.0158 14.23572184658100
```

This TLE data indicates the satellite's orbital parameters at the specified epoch.",019ca1e3-7a64-70a0-a19c-9efe5f0728bf,OrCO-GPT-Cloud-Eval-47b59a8e,True,True,True
"Give me the Two-Line Element set for 24243 for February 01, 2026.",sufficient,tle_extraction,sufficient,"I cannot provide the Two-Line Element set (TLE) for satellite ID 24243 on February 01, 2026, because there is no available TLE data for that date.",019ca1e3-6437-7902-94e3-ca45027dfe70,OrCO-GPT-Cloud-Eval-47b59a8e,True,True,True
